university,college_code,college_name,choice_code,course,intake,cap_seats,si_seats,ms_seats,all_india_seats,minority_seats,institute_seats,hu_open,hu_sc,hu_st,hu_vjdt,hu_ntb,hu_ntc,hu_ntd,hu_obc,hu_sebc,ohu_open,ohu_sc,ohu_st,ohu_vjdt,ohu_ntb,ohu_ntc,ohu_ntd,ohu_obc,ohu_sebc,pwd_total,ews_seats,tfws_choice_code,tfws_seats
Rashtrasant Tukadoji Maharaj Nagpur University,4124,"Amar Seva Mandal's Kamla Nehru Mahavidyalaya, Nagpur",0412424110,Master in Computer Application,60,7,7,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,5,0412424111,0
Rashtrasant Tukadoji Maharaj Nagpur University,4128,"Ranibai Agnihotri Institute of Computer Information Technology, Wardha",0412824110,Master in Computer Application,60,11,9,2,0,0,0,1,0,0,0,0,0,0,2,2,1,0,1,0,0,0,1,0,1,0,5,0412824111,2
Rashtrasant Tukadoji Maharaj Nagpur University,4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",0413324110,Master in Computer Application,60,12,10,2,0,0,0,1,1,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,1,5,0413324111,0
Rashtrasant Tukadoji Maharaj Nagpur University,4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",0413724210,Master of Computer Applications,120,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0413724211,0
Rashtrasant Tukadoji Maharaj Nagpur University,4142,"G H Raisoni College of Engineering & Management, Nagpur",0414224110,Master in Computer Application,180,7,0,4,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0414224111,0
Rashtrasant Tukadoji Maharaj Nagpur University,4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",0414524110,Master in Computer Application,180,28,28,0,0,0,0,3,1,2,2,1,2,1,6,6,1,0,0,0,1,0,0,1,0,0,11,0414524111,1
Rashtrasant Tukadoji Maharaj Nagpur University,4147,"K.D.K. College of Engineering, Nagpur",0414724110,Master in Computer Application,120,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,6,0414724111,0
Rashtrasant Tukadoji Maharaj Nagpur University,4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",0415124110,Master in Computer Application,300,26,24,2,0,0,0,3,1,1,1,1,0,1,7,0,0,0,1,0,0,2,0,4,1,1,17,0415124111,3
Rashtrasant Tukadoji Maharaj Nagpur University,4152,"Shri Shivaji Education Society Amravati's Science College (MCA), Nagpur",0415224110,Master in Computer Application,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0415224111,0
Rashtrasant Tukadoji Maharaj Nagpur University,4157,"V. M. Vasant Commerce, J.M. Thakar Arts & J.J. Patel Science College,Nagpur",0415724110,Master in Computer Application,120,14,2,1,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0415724111,0
Rashtrasant Tukadoji Maharaj Nagpur University,4613,"Suryodaya College of Engineering & Technology, Nagpur",0461324110,Master in Computer Application,120,13,13,0,0,0,0,1,0,1,0,0,0,0,2,0,1,2,0,1,0,1,1,2,1,0,8,0461324111,1
Rashtrasant Tukadoji Maharaj Nagpur University,4701,"Dr.S.C. Gulhane Prerna College of Management and Technology, Nagpur",0470124110,Master in Computer Application,120,8,8,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0,10,0470124111,1
Sant Gadge Baba Amravati University,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,Master in Computer Application,60,12,11,1,0,0,0,2,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,1,1,0,1,0100524111,1
Sant Gadge Baba Amravati University,1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110224110,Master in Computer Application,60,7,4,1,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0110224111,0
Sant Gadge Baba Amravati University,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524110,Master in Computer Application,60,2,2,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0110524111,0
Sant Gadge Baba Amravati University,1107,"P. R. Pote Patil College of Engineering & Management, Amravati",0110724110,Master in Computer Application,60,1,1,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0110724111,0
Sant Gadge Baba Amravati University,1111,"P.G. Department of Computer Science & Technology, D.C.P.E., H.V.P. Mandal, Amravati",0111124110,Master in Computer Application,120,12,12,0,0,6,0,2,2,2,0,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,6,0111124111,0
Sant Gadge Baba Amravati University,1113,"Sadhana Shikshan Mandal, Saraswati College, Shegaon",0111324110,Master in Computer Application,120,16,15,1,0,0,0,1,1,2,0,0,1,0,2,3,3,0,0,0,0,0,0,1,0,1,5,0111324111,0
Sant Gadge Baba Amravati University,1314,SMT RADHADEVI GOENKA COLLEGE FOR WOMEN,0131424170U,Master in Computer Application,120,74,13,0,61,12,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0131424171,4
Savitribai Phule Pune University,5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",0510924110,Master in Computer Application,60,12,12,0,0,0,0,2,2,0,0,1,0,0,3,0,1,1,0,1,0,0,0,0,1,0,3,0510924111,0
Savitribai Phule Pune University,5111,"B. P. Hivale Education Society's Institute of Management Studies Career Development Research, Ahmednagar",0511124110,Master in Computer Application,120,7,5,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0511124111,0
Savitribai Phule Pune University,5112,"Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Development, Ahmednagar",0511224110,Master in Computer Application,60,7,6,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0511224111,0
Savitribai Phule Pune University,5113,"Nashik District Maratha Vidya Prasarak Samaj's Institute of Management Research & Technology, Nashik",0511324110,Master in Computer Application,60,15,14,1,0,6,0,2,1,2,0,0,1,1,2,2,1,0,0,0,0,0,0,0,1,1,5,0511324111,0
Savitribai Phule Pune University,5117,Pirens Institute Of Business Management And Administration (IBMA) Loni (BK),0511724110,Master in Computer Application,120,12,9,3,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,7,0511724111,0
Savitribai Phule Pune University,5119,"C.H.M.E. Society's Dr. Moonje Institute for Management & Computer Studies, Nashik",0511924110,Master in Computer Application,60,9,9,0,0,0,0,1,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,3,0511924111,0
Savitribai Phule Pune University,5120,"MET's Institute of Management, Adgaon, Nashik",0512024110,Master in Computer Application,60,4,1,3,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0512024111,0
Savitribai Phule Pune University,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",0512124110,Master in Computer Application,120,6,4,2,0,24,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0512124111,0
Savitribai Phule Pune University,5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",0512424210,Master of Computer Applications,60,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,4,0512424211,0
Savitribai Phule Pune University,5131,"C.H.M.E. Society's Dr. Moonje Institute of Management & Information Technology, Nashik",0513124110,Master in Computer Application,60,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0513124111,0
Savitribai Phule Pune University,5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",0515124110,Master in Computer Application,60,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0515124111,0
Savitribai Phule Pune University,5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",0517724110,Master in Computer Application,60,4,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0517724111,0
